names,age,team,position,awards
Karam Bhinder & Camron Wilis-Wright,Adults,The Huntsmen,1,Phill Hill Trophy
Richard Evetts & Nick Harrington,Adults,Hyde-ing to nothing,2,
Duane Webb & Shane Feltwell,Adults,Hexcel Composites,3,
Daniel Jones & Sarah Crocker,Adults,The Dukes of Hinxton,4,Constructors Trophy
Simon Curtis & Alex,Adults,Ploughing On,5,
Rob Cowling & An Other,Adults,The Late Show,6,
Kevin Jarvis & Dean Baskeyfield,Adults,Tub Gear,7,
Kelly Pangalos & Bryony Harrup,Adults,Hinxton Flyers,8,
Liam Camp & James Reed,Adults,Dorothy & Ethel,9,
Hannah Martin& Louise Smythe,Adults,Race for Life Divas,10,
David & Ian Brown,Adults,Bar Wars,11,Wooden Spoon Trophy
